# Region type : patch inlet
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0.0325641     	-5.310417e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0328205     	-5.126489e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0330769     	-5.334856e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0333333     	-5.191552e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0335897     	-5.299632e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0338462     	-5.110460e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0341026     	-5.322936e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.034359      	-5.176053e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0346154     	-5.285811e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0348718     	-5.186894e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0351282     	-5.177020e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0353846     	-5.221625e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.035641      	-5.228920e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0358974     	-5.194330e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0361538     	-5.225721e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0364103     	-5.092295e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0366667     	-5.249369e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0369231     	-5.153497e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0371795     	-5.205676e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0374359     	-5.159021e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0376923     	-5.092391e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0379487     	-5.184046e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0382051     	-5.148394e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0384615     	-5.150499e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0387179     	-5.135572e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0389744     	-5.044592e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0392308     	-5.155339e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0394872     	-5.112449e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0397436     	-5.119342e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04          	-5.111866e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04025       	-5.020500e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0405        	-5.130736e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04075       	-5.094644e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.041         	-5.102660e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04125       	-5.092775e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0415        	-5.001463e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04175       	-5.107107e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.042         	-5.075718e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04225       	-5.082102e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0425        	-4.986478e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04275       	-5.092874e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.043         	-5.063624e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04325       	-5.070148e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0435        	-4.972917e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04375       	-5.077558e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.044         	-5.050069e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04425       	-5.100973e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0445        	-4.952739e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04475       	-5.068876e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.045         	-5.074922e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04525       	-5.066349e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0455        	-4.992538e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04575       	-5.080543e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.046         	-5.043989e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04625       	-5.049543e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0465        	-4.974914e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04675       	-5.064449e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.047         	-5.032878e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04725       	-4.965511e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0475        	-5.055126e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04775       	-5.024724e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.048         	-4.957884e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04825       	-5.050485e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0485        	-5.052465e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04875       	-4.953322e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.049         	-5.059729e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04925       	-5.043644e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0495        	-4.954706e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.04975       	-5.056402e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05          	-5.041481e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05025       	-4.955660e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0505        	-5.053728e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05075       	-5.041607e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.051         	-4.956295e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05125       	-4.979022e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0515        	-5.052421e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05175       	-5.036168e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.052         	-4.949320e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05225       	-4.976793e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0525        	-5.047090e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05275       	-5.036177e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.053         	-4.947934e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05325       	-4.964225e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0535        	-5.056299e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05375       	-5.015542e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.054         	-4.976079e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05425       	-4.966514e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0545        	-5.077560e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05475       	-5.020992e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.055         	-4.998951e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05525       	-4.973378e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0555        	-5.100952e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05575       	-5.024560e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.056         	-5.025849e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05625       	-4.974906e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0565        	-5.146994e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05675       	-5.022791e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.057         	-5.051849e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05725       	-4.983412e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0575        	-5.179314e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05775       	-4.960967e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.058         	-5.094501e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05825       	-5.077541e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0585        	-5.072191e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05875       	-5.027219e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.059         	-5.205692e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05925       	-4.996616e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0595        	-5.117074e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.05975       	-5.037469e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06          	-5.188321e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06025       	-5.044969e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0605        	-5.128234e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06075       	-5.079389e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.061         	-5.233100e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06125       	-5.056841e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0615        	-5.160124e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06175       	-5.109480e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.062         	-5.270493e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06225       	-5.091993e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0625        	-5.197063e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06275       	-5.154340e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.063         	-5.190454e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06325       	-5.300349e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0635        	-5.182527e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06375       	-5.276916e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.064         	-5.210652e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06425       	-5.250897e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0645        	-5.264910e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06475       	-5.286669e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.065         	-5.295879e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06525       	-5.318292e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0655        	-5.325596e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06575       	-5.351619e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.066         	-5.356419e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06625       	-5.388389e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0665        	-5.389049e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.06675       	-5.428373e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
